"","index","province","name","position","link"
"165",165,"广西","陈武","中央候补委员，党委副书记、主席","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18150706_1.shtml"
"166",166,"广西","孙大伟","党委副书记<U+00A0>","http://district.ce.cn/newarea/sddy/201707/05/t20170705_24044039.shtml"
"167",167,"广西","范晓莉","常委、宣传部部长","http://district.ce.cn/newarea/sddy/201612/06/t20161206_18417852.shtml"
"168",168,"广西","蓝天立","中央候补委员，常委、常务副主席","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18150706_4.shtml"
"169",169,"广西","王小东","常委、南宁市委书记","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18150706_6.shtml"
"170",170,"广西","喻云林","常委、组织部长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18150706_7.shtml"
"171",171,"广西","房灵敏","常委、纪委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201709/16/t20170916_26024602.shtml"
"172",172,"广西","王可","常委、秘书长<U+00A0>","http://district.ce.cn/newarea/sddy/201612/02/t20161202_18331216.shtml"
"173",173,"广西","黄世勇","常委、政法委书记","http://district.ce.cn/newarea/sddy/201707/29/t20170729_24602504.shtml"
"174",174,"广西","赵德明","常委、统战部部长","http://district.ce.cn/newarea/sddy/201612/02/t20161202_18331997.shtml"
"175",175,"广西","莫恭明","常委、玉林市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201706/20/t20170620_23725595.shtml"
"176",176,"海南","刘赐贵","书记，省人大常委会主任","http://district.ce.cn/newarea/sddy/201705/19/t20170519_23014183.shtml"
"177",177,"海南","沈晓明","副书记，省长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/19/t20170519_23014183_1.shtml"
"178",178,"海南","李军","副省长","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_2.shtml"
"179",179,"海南","毛超峰","副省长","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_3.shtml"
"180",180,"海南","王瑞连","副省长","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_4.shtml"
"181",181,"海南","张琦","常委、海口市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_5.shtml"
"182",182,"海南","胡光辉","常委，秘书长<U+00A0>","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_6.shtml"
"183",183,"海南","蓝佛安","常委、纪委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_7.shtml"
"184",184,"海南","肖莺子","常委、宣传部部长<U+00A0>","http://district.ce.cn/newarea/sddy/201704/30/t20170430_22461303.shtml"
"185",185,"海南","肖杰","常委、政法委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201706/01/t20170601_23364973_1.shtml"
"186",186,"海南","严朝君","常委、三亚市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201704/28/t20170428_22449716_10.shtml"
"187",187,"海南","张韵声","常委、统战部部长","http://district.ce.cn/newarea/sddy/201706/02/t20170602_23392710_1.shtml"
"188",188,"四川","王东明","中央委员，书记、省人大主任","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862.shtml"
"189",189,"四川","尹力","中央候补委员，副书记、省长","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_1.shtml"
"190",190,"四川","邓小刚<U+00A0>","副书记<U+00A0>","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_2.shtml"
"191",191,"四川","王雁飞","常委、省纪委书记","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_3.shtml"
"192",192,"四川","范锐平","常委，成都市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201601/29/t20160129_8646701.shtml"
"193",193,"四川","王宁","常委、常务副省长","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_5.shtml"
"194",194,"四川","曲木史哈","常委、农工委主任","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_6.shtml"
